Frequency	FFT
0.0	0.967260484614
0.1953125	0.00293045684463
0.390625	0.00173452454311
0.5859375	0.000988967394447
0.78125	0.00130897986907
0.9765625	0.00188036741101
1.171875	0.00383276633423
1.3671875	0.00376890329121
1.5625	0.00468755502334
1.7578125	0.00703533119546
1.953125	0.00354175346025
2.1484375	0.00902839391754
2.34375	0.0127474809696
2.5390625	0.00468466617707
2.734375	0.0167291129549
2.9296875	0.0409831382433
3.125	0.0495031250473
3.3203125	0.25203409378
3.515625	0.115810399243
3.7109375	0.0472530112758
3.90625	0.0161630892556
4.1015625	0.0131287878402
4.296875	0.0232965498349
4.4921875	0.0239773126184
4.6875	0.0329868658433
4.8828125	0.00238338119912
5.078125	0.0491267545022
5.2734375	0.0267582798235
5.46875	0.0145103448001
5.6640625	0.0308698399679
5.859375	0.0290802949344
6.0546875	0.0172244768434
6.25	0.0572557157087
6.4453125	0.0311116118432
6.640625	0.0687497925714
6.8359375	0.0787794684079
7.03125	0.0269645178412
7.2265625	0.0148152615196
7.421875	0.00498371326468
7.6171875	0.0123550166814
7.8125	0.0064567444366
8.0078125	0.0134530114977
8.203125	0.00949455581944
8.3984375	0.0162448005614
8.59375	0.015411643931
8.7890625	0.0107547230372
8.984375	0.0111967624451
9.1796875	0.0106852528868
9.375	0.0167754838767
9.5703125	0.0342014331964
9.765625	0.00357273111703
9.9609375	0.0164032174205
10.15625	0.0488030578456
10.3515625	0.0109746783642
10.546875	0.021868953874
10.7421875	0.015458375423
10.9375	0.00708397792271
11.1328125	0.0199857492649
11.328125	0.0156375237781
11.5234375	0.0209289852729
11.71875	0.00600714442251
11.9140625	0.0203762538429
12.109375	0.0188353562613
12.3046875	0.0182430388647
12.5	0.000703487382239
12.6953125	0.015092759343
12.890625	0.0123768065847
13.0859375	0.00576530649502
13.28125	0.00878033599804
13.4765625	0.0228838578165
13.671875	0.0141623761641
13.8671875	0.0114705968786
14.0625	0.0265289788362
14.2578125	0.0108162709378
14.453125	0.0141361124974
14.6484375	0.00736789900443
14.84375	0.0140357665778
15.0390625	0.00629624172664
15.234375	0.00970987587504
15.4296875	0.00663787380773
15.625	0.00694221389208
15.8203125	0.00706825133545
16.015625	0.0119919855199
16.2109375	0.00832760687791
16.40625	0.00829376803226
16.6015625	0.0102961342552
16.796875	0.00643043450527
16.9921875	0.0072641116274
17.1875	0.0014367507153
17.3828125	0.00505153352829
17.578125	0.00280171272732
17.7734375	0.00260311964448
17.96875	0.00612676426818
18.1640625	0.00583764673514
18.359375	0.0102397081387
18.5546875	0.00816648396178
18.75	0.00893940579229
18.9453125	0.00557379705017
19.140625	0.00102301368374
19.3359375	0.00655818007898
19.53125	0.00404838022791
19.7265625	0.0109382698804
19.921875	0.00643631662434
20.1171875	0.0114947048357
20.3125	0.0126691672915
20.5078125	0.00576796077778
20.703125	0.00917030629172
20.8984375	0.00481220909372
21.09375	0.00257592780255
21.2890625	0.00450066015627
21.484375	0.00267637700225
21.6796875	0.00506949353875
21.875	0.003307307488
22.0703125	0.00499562470428
22.265625	0.003239886561
22.4609375	0.00456214126056
22.65625	0.00354209118049
22.8515625	0.00443582752681
23.046875	0.00521737620352
23.2421875	0.0029892384843
23.4375	0.00912631088585
23.6328125	0.00137008794973
23.828125	0.00535172501842
24.0234375	0.00709321629092
24.21875	0.0041878311616
24.4140625	0.00260088712303
24.609375	0.00535553599954
24.8046875	0.0031385232039
25.0	1.12525947547e-05
